job_name,creation_time,distance_unit,included_speed_limits,network_name,zone_id,probe_source,map_version,date_range_id,date_range_name,date_from,date_to,time_set_id,time_set_name,time_set_days,time_set_times,segment_id,new_segment_id,street_name,frc,speed_limit,distance_m,geometry_wkt,harmonic_avg_speed,average_speed,median_speed,speed_stddev,sample_size,normalized_sample_size,average_travel_time,median_travel_time,travel_time_stddev,travel_time_ratio,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520201747431424,1285520201747431424,,3,60,38.32,"LINESTRING(77.24709 28.6281,77.24669 28.62809)",25.1,30.0,29.5,9.1,597,0.7763,5.51,4.68,4.42,1.0,13,21,23,25,26,27,27,28,29,30,30,31,32,34,35,37,39,42,46
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201747431424,1285520201747431424,,3,60,38.32,"LINESTRING(77.24709 28.6281,77.24669 28.62809)",9.4,20.8,22.3,11.9,487,0.6333,14.65,6.19,23.29,2.66,2,4,6,9,11,14,16,19,21,22,23,25,26,27,28,29,31,35,41
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520201784623104,1285520201784623104,Delhi Sachivalay Marg,3,70,10.55,"LINESTRING(77.25158 28.62894,77.2515 28.629)",0.0,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201784623104,1285520201784623104,Delhi Sachivalay Marg,3,70,10.55,"LINESTRING(77.25158 28.62894,77.2515 28.629)",0.0,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520201784623105,1285520201784623105,Delhi Sachivalay Marg,3,70,10.55,"LINESTRING(77.2515 28.629,77.25158 28.62894)",40.5,40.5,40.5,0.0,1,0.0013,0.94,0.94,0.0,1.0,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201784623105,1285520201784623105,Delhi Sachivalay Marg,3,70,10.55,"LINESTRING(77.2515 28.629,77.25158 28.62894)",19.2,25.6,21.1,13.4,6,0.0078,1.98,1.8,1.29,2.11,9,9,9,15,15,15,21,21,21,21,29,29,29,35,35,35,45,45,45
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520201785442306,1285520201785442306,Vikas Marg,2,60,104.16,"LINESTRING(77.27454 28.62845,77.27405 28.62825,77.27355 28.62814)",35.5,37.2,36.0,8.8,302,0.3927,10.58,10.42,2.33,1.0,26,28,29,31,32,33,34,34,35,36,37,38,40,41,42,43,45,47,51
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201785442306,1285520201785442306,Vikas Marg,2,60,104.16,"LINESTRING(77.27454 28.62845,77.27405 28.62825,77.27355 28.62814)",35.2,37.6,36.4,10.1,260,0.3381,10.64,10.3,2.78,1.01,23,26,28,30,31,33,34,35,36,36,37,38,40,41,42,44,45,48,53
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520201785442308,1285520201785442308,Vikas Marg,2,60,55.2,"LINESTRING(77.27355 28.62814,77.27354 28.62813,77.27336 28.62811,77.27317 28.62808,77.27298 28.62807)",42.2,45.1,44.5,9.2,307,0.3992,4.71,4.47,2.74,1.0,33,36,38,39,40,41,42,43,44,45,45,46,48,48,50,51,52,55,60
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201785442308,1285520201785442308,Vikas Marg,2,60,55.2,"LINESTRING(77.27355 28.62814,77.27354 28.62813,77.27336 28.62811,77.27317 28.62808,77.27298 28.62807)",42.7,45.2,44.2,10.4,260,0.3381,4.66,4.5,1.25,0.99,28,33,37,38,40,41,42,43,43,44,45,47,48,49,50,52,54,58,65
