day,job_name,creation_time,distance_unit,included_speed_limits,network_name,zone_id,probe_source,map_version,date_range_id,date_range_name,date_from,date_to,time_set_id,time_set_name,time_set_days,time_set_times,segment_id,new_segment_id,street_name,frc,speed_limit,distance_m,geometry_wkt,harmonic_avg_speed,average_speed,median_speed,speed_stddev,sample_size,normalized_sample_size,average_travel_time,median_travel_time,travel_time_stddev,travel_time_ratio,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95
Monday,Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201747431424,1285520201747431424,,3,60,38.32,"LINESTRING(77.24709 28.6281,77.24669 28.62809)",9.4,20.8,22.3,11.9,487,0.6333,14.65,6.19,23.29,2.66,2,4,6,9,11,14,16,19,21,22,23,25,26,27,28,29,31,35,41
Tuesday,Tuesday,2026-01-13T11:50:56.502045153Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Tuesday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201747431424,1285520201747431424,,3,60,38.32,"LINESTRING(77.24709 28.6281,77.24669 28.62809)",12.1,21.3,22.7,10.8,634,0.7827,11.45,6.08,13.84,2.22,3,5,8,11,13,16,18,20,21,23,24,25,26,27,28,29,31,33,38
Wednesday,Wednesday,2026-01-13T11:52:47.306220841Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Wed,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201747431424,1285520201747431424,,3,60,38.32,"LINESTRING(77.24709 28.6281,77.24669 28.62809)",10.3,20.3,22.3,10.6,503,0.6957,13.42,6.19,21.23,2.34,3,6,7,9,12,14,17,19,21,22,23,24,25,26,27,28,29,32,37
Thursday,Thursday,2026-01-13T11:54:06.482359984Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Thurs,2024-08-02,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201747431424,1285520201747431424,,3,60,38.32,"LINESTRING(77.24709 28.6281,77.24669 28.62809)",12.1,22.1,24.8,11.1,536,0.7109,11.42,5.56,14.24,2.28,3,5,8,10,12,16,19,22,24,25,26,27,28,29,30,30,32,34,40
Friday,Friday,2026-01-13T12:35:34.888344552Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,fri,2024-08-03,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201747431424,1285520201747431424,,3,60,38.32,"LINESTRING(77.24709 28.6281,77.24669 28.62809)",11.0,20.4,21.9,11.5,451,0.758,12.58,6.3,14.98,2.44,3,5,6,8,10,13,15,18,20,22,23,25,26,27,28,29,30,32,40
Monday,Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201784623104,1285520201784623104,Delhi Sachivalay Marg,3,70,10.55,"LINESTRING(77.25158 28.62894,77.2515 28.629)",0.0,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,Tuesday,2026-01-13T11:50:56.502045153Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Tuesday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201784623104,1285520201784623104,Delhi Sachivalay Marg,3,70,10.55,"LINESTRING(77.25158 28.62894,77.2515 28.629)",0.0,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,Wednesday,2026-01-13T11:52:47.306220841Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Wed,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201784623104,1285520201784623104,Delhi Sachivalay Marg,3,70,10.55,"LINESTRING(77.25158 28.62894,77.2515 28.629)",0.0,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,Thursday,2026-01-13T11:54:06.482359984Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Thurs,2024-08-02,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201784623104,1285520201784623104,Delhi Sachivalay Marg,3,70,10.55,"LINESTRING(77.25158 28.62894,77.2515 28.629)",0.0,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friday,Friday,2026-01-13T12:35:34.888344552Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,fri,2024-08-03,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201784623104,1285520201784623104,Delhi Sachivalay Marg,3,70,10.55,"LINESTRING(77.25158 28.62894,77.2515 28.629)",13.2,13.2,13.2,0.0,1,0.0017,2.88,2.88,0.0,0.0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
